"customer_id","date","location","category","sub_category","channel","tone_urgency","message"
"CUST-14165","3050-06-15","Doylestown, PA","Delivery","Late delivery","Website","Moderate","The delivery estimate kept changing and my food arrived much later than promised. This was especially frustrating because I was ordering during my lunch break."
"CUST-87236","2025-02-31","Willow Grove, PA","Food Quality","Incorrect preparation","DoorDash","Low","My churros was prepared completely differently from what I ordered. The receipt and order confirmation both show what I originally requested."
"CUST-22676","3050-06-15","King of Prussia, PA","Cleanliness","Dining area","Website","Low","Several tables were dirty and had not been wiped down. I have ordered from Taco Alley before and expected better."
"CUST-91070","2025-02-31","King of Prussia, PA","Cleanliness","Food handling","Email","High","The food preparation area did not look clean. Please contact me about a refund or replacement."
"CUST-69429","3050-06-15","King of Prussia, PA","Delivery","Wrong address/dropoff","Website","Moderate","The driver left my order at the wrong house."
"CUST-59735","2025-02-31","Willow Grove, PA","Food Quality","Stale ingredients","Phone","Low","The ingredients in my breakfast burrito did not taste fresh."
"CUST-37653","3050-06-15","Cherry Hill, NJ","Product Availability","Out of stock","DoorDash","Low","I came specifically for the fish tacos, but it was sold out."
"CUST-28301","2025-02-31","Lansdale, PA","App & Online Ordering","Order not received","Uber Eats","Low","I placed and paid for an online order, but the store said they never received it."
"CUST-21915","2025-11-21","Doylestown, PA","Billing & Pricing","Duplicate charge","Mobile App","Critical","I see two identical charges for one purchase."
"CUST-82512","2026-06-02","Doylestown, PA","App & Online Ordering","App error","Uber Eats","","The mobile app would not let me complete checkout. Please contact me about a refund or replacement."
"CUST-44522","2025-10-20","Princeton, NJ","Billing & Pricing","Overcharged","Uber Eats","ASAP","My total was incorrect and I appear to have been overcharged. Please contact me about a refund or replacement."
"CUST-80697","2025-10-18","Princeton, NJ","Billing & Pricing","Duplicate charge","Google Review","Med","My card was charged twice for the same order."
"CUST-84364","2026-01-05","New Britain, PA","App & Online Ordering","Menu mismatch","Phone","N/A","Prices in the app did not match the prices at the store."
"CUST-89507","2026-05-09","Philadelphia, PA","Food Quality","Undercooked/overcooked","Mobile App","Later","The street corn was badly overcooked and dry."
"CUST-39451","2026-04-22","New Britain, PA","Product Availability","Out of stock","Uber Eats","Unknown","I came specifically for the rice bowl, but it was sold out."
"CUST-14117","2025-08-31","King of Prussia, PA","Order Accuracy","Customization ignored","Phone","Immediate","My dietary customization (gluten-free preparation) was not honored. The receipt and order confirmation both show what I originally requested."
"CUST-71993","2026-08-06","Philadelphia, PA","Food Quality","Incorrect preparation","Uber Eats","Severe","The kitchen ignored my request for extra guacamole."
"CUST-94696","2026-08-09","New Britain, PA","Food Quality","Cold food","In-store","none","Everything in my order was lukewarm, especially the chips and queso."
"CUST-70637","2025-10-11","Lansdale, PA","Food Quality","Stale ingredients","DoorDash","H","The ingredients in my nachos did not taste fresh."
"CUST-40982","2026-05-04","Warrington, PA","App & Online Ordering","App error","In-store","lowish","I kept getting an error when adding items to my cart."
"CUST-69638","2026-02-16","Willow Grove, PA","Service","Slow service","Email","urgent!","I waited 25 minutes for a simple order."
"CUST-17492","2025-08-30","Doylestown, PA","Service","Ignored customer","In-store","Moderate",""
"CUST-40828","2025-09-05","Philadelphia, PA","Delivery","Wrong address/dropoff","Website","High",""
